"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"A_06_P5883" -5.08328373333333 -0.00452803333333337 -66.8046935993533 6.58220385052390e-11 2.85768671446071e-07 15.6328961448811
"A_06_P6540" 4.11508476666667 -0.00717411666666664 60.8809991817962 1.24314888325871e-10 2.85768671446071e-07 15.1429596800252
"A_06_P7124" 5.24350306666667 -0.0454115000000001 59.6467179843496 1.43030243714071e-10 2.85768671446071e-07 15.030969915746
"A_06_P3263" 4.7479256 -0.0193663333333333 55.9506155038367 2.2162473304028e-10 2.85768671446071e-07 14.6725104982661
"A_06_P3259" 4.27773813333333 0.0510675666666668 53.971164163356 2.83588523401496e-10 2.85768671446071e-07 14.4650823718687
"A_06_P6411" 6.67998013333333 -0.0747264666666667 52.8749426393837 3.26347015699788e-10 2.85768671446071e-07 14.3451777721546
"A_06_P2371" 5.01691656666667 0.00549171666666666 51.8262486249974 3.74296947784705e-10 2.85768671446071e-07 14.2269399134961
"A_06_P3466" -3.5858304 0.0220542 -51.4880402566294 3.91447140697839e-10 2.85768671446071e-07 14.1880478702834
"A_06_P3916" 3.62466236666667 0.00515715000000002 51.191892641608 4.0720678325121e-10 2.85768671446071e-07 14.1536816958782
"A_06_P2580" 7.79315366666667 -0.1120398 49.9308870978609 4.82978612911485e-10 2.99060391582003e-07 14.0040197681033
"A_06_P7035" -4.20974826666667 0.0171771 -49.3830269311751 5.20846153800196e-10 2.99060391582003e-07 13.937270182194
"A_06_P5226" 4.3603258 0.00785906666666669 47.8691587647939 6.4448048921409e-10 3.1677874349122e-07 13.7471427311156
"A_06_P1085" 5.43904436666667 0.0250117166666666 47.7878925907968 6.52014513202321e-10 3.1677874349122e-07 13.7366936393326
"A_06_P6469" -3.76599356666667 -0.00259551666666665 -46.6369542120253 7.70325078829118e-10 3.42803047306567e-07 13.585950644664
"A_06_P4488" -3.67692423333333 -0.0415759833333333 -46.1121473501718 8.32313122326828e-10 3.42803047306567e-07 13.5154632730807
"A_06_P3857" 4.34670023333333 0.01966755 45.1974930876371 9.54526126324165e-10 3.42803047306567e-07 13.3898974461347
"A_06_P2419" 3.1047001 -0.00657988333333337 44.7562297350738 1.02075789932043e-09 3.42803047306567e-07 13.3280517665526
"A_06_P2754" 4.76388156666667 0.00516151666666668 44.1757804012634 1.1160546215152e-09 3.42803047306567e-07 13.2454064607685
"A_06_P5913" -5.53811013333334 -0.1322921 -44.1707195558374 1.11692918030534e-09 3.42803047306567e-07 13.2446793390847
"A_06_P6463" -2.97689933333333 -0.00714326666666665 -44.147646157253 1.12092642769907e-09 3.42803047306567e-07 13.2413627994108
"A_06_P5241" 3.66786873333333 0.0431614666666667 44.0400612393757 1.13978213955635e-09 3.42803047306567e-07 13.2258672774771
"A_06_P5912" -4.1503337 -0.0576720166666667 -43.1626360953298 1.30789400106882e-09 3.75484477761394e-07 13.0975314944373
"A_06_P7199" 4.14652376666667 -0.00750571666666674 41.71518478342 1.65131145928913e-09 4.06442784169767e-07 12.877911887802
"A_06_P3076" 3.45850563333333 -0.0229202833333333 41.55067190439 1.69651475858575e-09 4.06442784169767e-07 12.8523038181402
"A_06_P4962" 3.12920836666667 -0.0027520833333334 41.4520917401151 1.72428023802869e-09 4.06442784169767e-07 12.8368939318725
"A_06_P4221" 3.6893274 0.0123287 40.7870005517677 1.92580837752685e-09 4.06442784169767e-07 12.7316388228564
"A_06_P2839" 5.53539923333333 -0.09102385 40.7680484006355 1.93193436823475e-09 4.06442784169767e-07 12.7286062159578
"A_06_P4055" 2.7326463 -0.000404683333333322 40.6952786252485 1.95566434129538e-09 4.06442784169767e-07 12.716944696302
