"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"A_06_P2852" -7.9023227 -0.00328498333333327 -73.4539097649918 3.6333372712525e-14 4.30331043890563e-11 22.8358280405191
"A_06_P1962" -8.58727063333334 -0.0433353833333336 -68.9953491242223 6.49556292665002e-14 4.30331043890563e-11 22.3631129279595
"A_06_P2580" 7.70682726666667 -0.0544647333333333 63.3160010115882 1.44093768987078e-13 6.36414146359596e-11 21.6902970118067
"A_06_P3147" 7.30815413333333 -0.123580633333333 58.9577069475772 2.79147912481018e-13 9.02352302726418e-11 21.1119505546495
"A_06_P4189" -5.73308846666667 -0.0298883 -57.7074230988001 3.40510302915629e-13 9.02352302726418e-11 20.934865832712
"A_06_P1145" -6.20148853333333 -0.0934699333333334 -53.5294237068675 6.83323254140102e-13 1.44041335958894e-10 20.3028760882807
"A_06_P7035" -5.19686793333333 0.0106253666666666 -52.8208729627051 7.73118442036295e-13 1.44041335958894e-10 20.1891081048957
"A_06_P3263" 4.8661038 -0.0682591000000001 51.6258297546832 9.55701112535721e-13 1.44041335958894e-10 19.9925799217371
"A_06_P6411" 6.95495273333333 -0.1491625 51.495216136002 9.78393980098145e-13 1.44041335958894e-10 19.9707376867924
"A_06_P2951" 6.73888586666667 -0.152721066666667 50.8986734017419 1.08990960813645e-12 1.44413023078079e-10 19.8700495598809
"A_06_P3546" -4.61691183333333 0.0606495166666667 -48.4701829463638 1.7140733223355e-12 2.06467922917686e-10 19.4437764305354
"A_06_P1085" 4.78724653333333 -0.0701716 47.588734121827 2.03156621351217e-12 2.19120515972521e-10 19.2822208348771
"A_06_P1320" 5.63431996666667 -0.0927419833333333 47.2987152662151 2.14986166614549e-12 2.19120515972521e-10 19.2282314168186
"A_06_P6540" 3.72564203333333 0.0254569833333334 45.5126703172954 3.07014216341473e-12 2.74179641147132e-10 18.8862818297356
"A_06_P2333" 5.11534753333333 -0.0556939333333334 45.4588954611563 3.10392046581659e-12 2.74179641147132e-10 18.8757264727439
"A_06_P7208" 6.41467273333333 -0.152018766666667 44.7384211060506 3.59850775334281e-12 2.86608106706517e-10 18.7327891198747
"A_06_P5226" 4.05745316666667 -0.0302515166666666 44.6339154179236 3.67723608604588e-12 2.86608106706517e-10 18.7118185628769
"A_06_P5883" -4.3661559 -0.0274770833333334 -43.9899520347789 4.20653455129299e-12 3.05773633083753e-10 18.5812438954088
"A_06_P4179" -5.51414383333334 -0.00392475000000007 -43.5594458004884 4.60726256345006e-12 3.05773633083753e-10 18.4926298514775
"A_06_P5645" 5.558154 -0.0788133666666667 43.4858780854689 4.67988144149754e-12 3.05773633083753e-10 18.4773792239171
"A_06_P6755" 3.61343013333333 -0.0447115 43.3220206327545 4.84622361868589e-12 3.05773633083753e-10 18.4432974334472
"A_06_P1749" 4.49200943333333 -0.0462525833333335 42.7150579309549 5.52192923543557e-12 3.32570738043279e-10 18.3156628626108
"A_06_P2839" 6.64887633333333 -0.1533881 42.467887869211 5.82645428578228e-12 3.34156995948398e-10 18.2630511244848
"A_06_P7041" 3.7161727 -0.00215728333333335 42.2933737091022 6.05265502095211e-12 3.34156995948398e-10 18.2256796847117
"A_06_P3466" -4.20075793333333 -0.0170240333333334 -41.902488907514 6.59543072308796e-12 3.3860454779809e-10 18.1412896374841
"A_06_P2454" -7.9100755 -0.0654589166666666 -41.8690452777964 6.64431565490591e-12 3.3860454779809e-10 18.1340250302722
"A_06_P5417" -4.64537746666667 0.0704558666666666 -41.5685605994413 7.10198438629398e-12 3.48523307845908e-10 18.0684373099837
"A_06_P4780" -3.65710053333333 0.00975329999999996 -41.3898018678906 7.39074620995674e-12 3.49740668864025e-10 18.0291467009573
"A_06_P6854" -3.20698356666667 0.0170602833333334 -40.9878087801308 8.08879436826644e-12 3.68428589052753e-10 17.9400376970717
"A_06_P5767" 3.43908786666667 0.000278300000000028 40.8515208824574 8.34177937477932e-12 3.68428589052753e-10 17.9095880935267
"A_06_P4621" -3.57727973333333 0.0567794 -40.5036138040841 9.02823010571662e-12 3.76812644953064e-10 17.8313021823585
"A_06_P2371" 5.10927186666667 -0.032484 40.3145670855172 9.42729617040355e-12 3.76812644953064e-10 17.7884243943472
"A_06_P1410" -3.5019994 -0.0526656333333333 -40.2096186635199 9.65723865049906e-12 3.76812644953064e-10 17.7645170560281
"A_06_P1539" 3.61764446666667 -0.0395968 40.2026441471086 9.67273843356599e-12 3.76812644953064e-10 17.7629256137076
"A_06_P6930" 4.34443603333333 -0.0418106833333333 40.078389952803 9.95354156479791e-12 3.76812644953064e-10 17.734517960111
"A_06_P2334" 4.94337463333333 -0.08072725 39.6207868020636 1.10682570674928e-11 4.07373350400778e-10 17.6289856252207
"A_06_P2417" 3.1456232 -0.00820146666666666 39.148935012637 1.23643487231112e-11 4.42777352922225e-10 17.5186389644364
"A_06_P3273" 3.44019506666667 -0.0240319333333333 38.5656144984017 1.42044047842667e-11 4.88620263818102e-10 17.3800275541086
"A_06_P6738" 4.51269276666667 0.0105333166666666 38.5137838461739 1.43820304067215e-11 4.88620263818102e-10 17.3675917195116
"A_06_P5509" 4.04861183333333 -0.0311377166666666 37.7903347489197 1.71361117845341e-11 5.67633702862691e-10 17.1919304448424
"A_06_P4221" 3.8183487 0.0611867166666666 37.6886842129321 1.75678673067271e-11 5.67742053205206e-10 17.1669326776138
"A_06_P4989" -2.80255733333333 -0.000329166666666714 -37.3716015559555 1.8993936750568e-11 5.98086773661893e-10 17.0884465624365
"A_06_P6650" 3.68871913333333 -0.0674557666666667 37.1497868345836 2.00676343438904e-11 5.98086773661893e-10 17.0330780584907
"A_06_P2108" -3.32487343333333 -0.0254716166666667 -37.0972595752698 2.03316224495055e-11 5.98086773661893e-10 17.0199099666342
"A_06_P2023" -3.49039633333333 0.063748 -37.0483457140455 2.05809107332963e-11 5.98086773661893e-10 17.0076281783641
"A_06_P5705" -2.98275536666667 -0.00941038333333333 -37.0057295798378 2.08008626996421e-11 5.98086773661893e-10 16.9969122881077
"A_06_P1475" -5.0853563 -0.07268945 -36.889859766291 2.14121628772373e-11 5.98086773661893e-10 16.9677039015119
"A_06_P7124" 4.3382292 -0.0728678666666667 36.8427180976321 2.16665397251101e-11 5.98086773661893e-10 16.9557899117207
"A_06_P6946" 3.47674436666667 -0.0418230833333333 36.7433001034234 2.2214038896894e-11 6.00685745681317e-10 16.9306060841782
"A_06_P5271" -3.64643333333333 -0.0239319 -36.3331566703159 2.46403723245423e-11 6.52969866600371e-10 16.8258691925903
"A_06_P1369" 3.6727721 -0.0528469166666666 36.1205630468166 2.60124116656822e-11 6.75812656020176e-10 16.7710396721751
"A_06_P6792" 3.44978716666667 0.0453952166666666 35.9751842287149 2.69992924376728e-11 6.87962739998394e-10 16.7333301965704
