"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"A_06_P2852" -6.67317424066667 3.28538434633333 -108.688152069225 5.31909779696107e-12 2.10841406064619e-08 16.4758038989431
"A_06_P1962" -8.45399481333333 4.16101792666667 -105.012885085167 6.67642197798033e-12 2.10841406064619e-08 16.3821504370717
"A_06_P1145" -5.62404771133333 2.78879314433333 -97.3522419864463 1.10123062048621e-11 2.31845753299696e-08 16.1611289600489
"A_06_P3147" 7.84158689933333 -3.825157717 78.2191699645542 4.67298342670708e-11 7.37864083077049e-08 15.4035606331935
"A_06_P6574" -3.937238085 1.87885762416667 -70.7237700327389 9.08819569631036e-11 1.14802088035793e-07 14.9941126535541
"A_06_P3815" -5.62986406 2.38175297 -60.362489734838 2.58604069544983e-10 2.72223883874353e-07 14.2742568140929
"A_06_P3574" -4.74513691333333 2.04170704333333 -56.5549883965691 3.97524641516818e-10 3.58680805117175e-07 13.9523509269829
"A_06_P5916" -7.89386891666667 3.433221175 -52.2550287040761 6.69783501707664e-10 5.28794074598201e-07 13.5425957249744
"A_06_P2454" -6.56714959333333 3.17607027 -46.7708960746622 1.39148655735904e-09 9.43484550836987e-07 12.9351263478346
"A_06_P5080" -4.19184014333333 1.83175896166667 -46.2702339338669 1.49380074546705e-09 9.43484550836987e-07 12.8742334200432
"A_06_P4621" -3.94989809866667 1.901145784 -45.0536143738885 1.78063319370469e-09 1.02240720467626e-06 12.7220755892079
"A_06_P2091" -3.38069438333333 1.41807174166667 -41.7455518704621 2.94325325455839e-09 1.49493394715008e-06 12.2760435129301
"A_06_P7242" 3.47205304 -1.68069688 41.4649710624005 3.07696980889029e-09 1.49493394715008e-06 12.235877731219
"A_06_P1124" 3.75957485866667 -1.86801877066667 39.5705588291625 4.18695261065769e-09 1.88891376349385e-06 11.954297091993
"A_06_P4179" -4.74909928666667 2.26174332333333 -37.8923572370419 5.56962574497051e-09 2.34518374701558e-06 11.6887683664819
"A_06_P7168" -1.861384857 0.8702844715 -36.1474207338575 7.59615637829523e-09 2.99858273033204e-06 11.3951924354653
"A_06_P6182" 2.76383863333333 -0.272785583333333 33.918607036151 1.15460434984396e-08 4.28969474918498e-06 10.9916288834321
"A_06_P6540" 2.04537441 -0.598411961666667 32.8791620649757 1.4168431867158e-08 4.971545315165e-06 10.7914350789672
"A_06_P3968" 3.64615092866667 -1.80416823566667 32.1460723827549 1.6432371335748e-08 5.1924495763536e-06 10.6453097135726
"A_06_P3793" 3.76206845366667 -1.8580672065 32.1431456163091 1.64422089181558e-08 5.1924495763536e-06 10.6447178666861
"A_06_P2885" -1.99798519 0.835970871666667 -31.6201893539112 1.83139831578395e-08 5.50814845832927e-06 10.5378596687357
"A_06_P2485" -1.71287920666667 0.507569963333333 -30.2962306877919 2.42567157354072e-08 6.9638825720378e-06 10.2571213773979
"A_06_P1241" -2.22974041 0.825739995 -30.0432615334821 2.56301032466646e-08 7.03824922199712e-06 10.2017440463071
"A_06_P1749" 1.94740901666667 -0.299564858333333 29.6267730797806 2.80909241856655e-08 7.39259488152763e-06 10.1093068857266
"A_06_P4328" -5.83490372233333 2.74421947216667 -29.1089689835693 3.1538765963799e-08 7.96795383309417e-06 9.99213542111526
"A_06_P6105" -2.03431926666667 0.7697924 -28.7321787463089 3.43548933281659e-08 8.34559639464215e-06 9.90526327785497
"A_06_P1547" -1.52666143 0.740488785 -28.3707647021698 3.73310998111504e-08 8.73271208915651e-06 9.82062729298087
"A_06_P4192" -3.08787330466667 1.50769591433333 -27.4656127121174 4.61810694388057e-08 1.04171298062677e-05 9.60282907374639
"A_06_P6181" 1.96091811666667 0.150417175 27.1193174399653 5.01888653765229e-08 1.09307887489006e-05 9.51721968692365
"A_06_P3659" -1.45366035 0.528775225 -26.5167797702382 5.81556228589243e-08 1.18676738267594e-05 9.36512257116479
"A_06_P6389" 1.47482648 -0.369036826666667 26.5103221491455 5.82485574144302e-08 1.18676738267594e-05 9.36347040839084
"A_06_P2771" -1.90694935 0.605960525 -25.9271887993016 6.73908210422809e-08 1.33012633032202e-05 9.21229294337524
"A_06_P3148" -5.06173174333333 2.181332395 -25.5455360528099 7.42680940283508e-08 1.38705269408141e-05 9.11117469687341
"A_06_P5795" -1.43481540666667 0.41195663 -25.5246486958837 7.46671811253449e-08 1.38705269408141e-05 9.10558979706871
"A_06_P1321" -2.33287177766667 1.11785317783333 -25.2840960116982 7.94456613621726e-08 1.43365370618138e-05 9.0408842668147
"A_06_P5534" 3.39347682333333 -0.945186788333333 25.152277035656 8.22129157220929e-08 1.43617608540393e-05 9.00512244049886
"A_06_P7000" 2.45949233333333 -0.0689220333333333 25.0637682731965 8.41331778973168e-08 1.43617608540393e-05 8.98098822626135
"A_06_P5864" 1.81026059333333 -0.34913897 24.42234041765 9.96990297609217e-08 1.65066078437915e-05 8.80308858900454
"A_06_P5524" 2.25767393333333 -0.138670766666667 24.2472649984626 1.04506567205497e-07 1.65066078437915e-05 8.75359549300242
"A_06_P5271" -2.020311517 0.904153108166667 -24.2461380460525 1.04538365065177e-07 1.65066078437915e-05 8.753275581201
"A_06_P3382" 2.26532110333333 -0.270610181666667 23.8638797222175 1.15995647378701e-07 1.76050100548844e-05 8.64376926008304
"A_06_P4843" -2.622274195 1.1985769025 -23.8031930142614 1.1794439710227e-07 1.76050100548844e-05 8.62619993768586
"A_06_P5771" 1.79658399666667 -0.0994050516666666 23.7447492748273 1.19856781564286e-07 1.76050100548844e-05 8.60923162848031
"A_06_P6463" -1.35530312 0.274199006666667 -23.1780142175577 1.40373977974848e-07 2.01500464747532e-05 8.44218368419241
"A_06_P4185" 1.95131032666667 -0.192948903333333 23.0071009058457 1.47334508119014e-07 2.02234356749441e-05 8.39089624356795
"A_06_P3255" -1.90944594666667 0.178965326666667 -23.0007506727957 1.47600670444696e-07 2.02234356749441e-05 8.38898238972267
"A_06_P1422" 1.489935565 0.529783884166667 22.9326267398898 1.5049105077935e-07 2.02234356749441e-05 8.36841339568041
"A_06_P2951" 2.9258248 -0.358947266666667 22.6572904438907 1.62855485545184e-07 2.14290676396538e-05 8.28457265735952
"A_06_P1572" -2.44892974 1.06409023 -22.3149265550994 1.79893199381902e-07 2.27001529644897e-05 8.17871105567584
"A_06_P5883" -1.3994481 0.43459305 -22.3077312236882 1.8027265585451e-07 2.27001529644897e-05 8.17646671883811
"A_06_P6348" 3.51856264666667 -1.71039471 22.2302834774345 1.8441576840921e-07 2.27001529644897e-05 8.15225817518991
"A_06_P3510" 1.41880147666667 -0.220275961666667 22.1728896707867 1.8755675587491e-07 2.27001529644897e-05 8.13425718413501
"A_06_P6925" 1.71524556333333 -0.500597151666667 22.1203560609899 1.90485767434762e-07 2.27001529644897e-05 8.11773487509775
"A_06_P6106" -1.71053871666667 0.521840341666667 -21.9072183966315 2.02921275242097e-07 2.37342736005386e-05 8.05024927169666
"A_06_P7169" -1.95738078 0.80527711 -21.5817215952705 2.23758044807314e-07 2.53312592216265e-05 7.94576529048317
"A_06_P4104" 1.56193540666667 -0.273321463333333 21.5623776624668 2.25071810489399e-07 2.53312592216265e-05 7.93950095601437
"A_06_P7046" 5.469202819 -2.70055205716667 21.5109633185829 2.28606994242038e-07 2.53312592216265e-05 7.92282063679221
"A_06_P6961" -1.72360452266667 0.809693338666667 -21.4319290115386 2.34166497303619e-07 2.54999240856838e-05 7.89709332778215
"A_06_P1320" 2.33994929333333 0.89996942 21.2845685768713 2.44952559141814e-07 2.58426348087625e-05 7.84884308838051
"A_06_P5912" -1.19552358 0.06018129 -21.2014483044235 2.51287995097854e-07 2.58426348087625e-05 7.82146401086914
"A_06_P5229" 2.20860705333333 0.248967973333333 21.1690835439407 2.53805631590615e-07 2.58426348087625e-05 7.8107713056344
"A_06_P1579" -1.47312304833333 0.715071109166667 -21.1245391155692 2.57318273858786e-07 2.58426348087625e-05 7.79602516425021
"A_06_P3010" -1.39499601333333 0.337145806666667 -21.1188402308947 2.57771689827745e-07 2.58426348087625e-05 7.79413611400135
"A_06_P2886" -1.79804909333333 0.42493652 -20.9253978689289 2.73721091029483e-07 2.70128501709721e-05 7.72967948352185
"A_06_P7206" 1.60967192666667 0.380595536666667 20.8348211554775 2.81577138139424e-07 2.702989406298e-05 7.6992730195559
"A_06_P5525" 1.13271999333333 0.264592646666667 20.8249033770885 2.82452977858879e-07 2.702989406298e-05 7.69593482361665
"A_06_P2987" -5.50561079666667 2.57404820166667 -20.5196040888805 3.11009802142042e-07 2.87683524660041e-05 7.59231389962233
"A_06_P5926" -1.25968806333333 0.600588801666667 -20.4925194817284 3.13699647449235e-07 2.87683524660041e-05 7.583039804102
"A_06_P6192" -1.16557438 0.39355341 -20.4866730527542 3.14283774565276e-07 2.87683524660041e-05 7.58103615876647
"A_06_P6157" -1.63059012066667 0.779320239666667 -20.3207085258061 3.31398817238734e-07 2.99016418525692e-05 7.5238961445812
"A_06_P1384" 1.56635779 -0.116918171666667 20.2113429816566 3.43262628479662e-07 3.05358698799654e-05 7.48596375883015
"A_06_P6953" -1.03382493 0.183416688333333 -20.1427192627983 3.50955922309051e-07 3.07866334069996e-05 7.46204799509283
"A_06_P4081" 1.16320672 -0.220249806666667 19.8854551001879 3.81615166852116e-07 3.30175533402461e-05 7.37159508845526
"A_06_P1721" 1.89604569 -0.275981588333333 19.8312801783337 3.88457332175839e-07 3.31553582435487e-05 7.35238561774524
"A_06_P3363" 3.33386203333333 0.199898883333333 19.740530619572 4.00237128918969e-07 3.37053027500294e-05 7.32007973673582
"A_06_P4183" 1.80396208 -0.22784616 19.6587808629183 4.1120124587811e-07 3.41729877495545e-05 7.29083982131406
"A_06_P2775" -1.28934732533333 0.632974304 -19.592098369764 4.20400615005209e-07 3.44837699269208e-05 7.26689161937842
"A_06_P6223" 1.44189549 0.0991857783333333 19.372974424358 4.5233889208675e-07 3.65149317407542e-05 7.18757205779712
"A_06_P2574" -1.15412251666667 0.384416975 -19.3307294538848 4.58812091900832e-07 3.65149317407542e-05 7.17216889465776
"A_06_P1939" 2.7105427 -0.326678583333333 19.248130697535 4.717786761484e-07 3.65149317407542e-05 7.14194722351018
"A_06_P3993" 1.65684189 -0.286942155 19.2332125586181 4.74165196584104e-07 3.65149317407542e-05 7.13647403175358
"A_06_P5391" 2.95147603333333 -0.27512725 19.2215810273782 4.76035569529632e-07 3.65149317407542e-05 7.13220347000693
"A_06_P2807" 1.64942615333333 -0.342521356666667 19.1980150685882 4.79851066257536e-07 3.65149317407542e-05 7.12354261944645
"A_06_P4299" -1.04366557 0.268094381666667 -18.7833564031993 5.53089685743202e-07 4.15870768470722e-05 6.96925637030603
