"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"A_06_P5417" -6.06956455666667 -2.805675055 -42.0137699477653 1.06582052587283e-09 4.42062943705298e-06 13.0171948065384
"A_06_P4800" 2.58183795666667 -0.460679688333333 38.4840117814068 1.96957297020555e-09 4.42062943705298e-06 12.506355771403
"A_06_P1588" -2.61770406666667 -0.1325952 -38.133553702892 2.09972899163378e-09 4.42062943705298e-06 12.4517537565062
"A_06_P6181" 2.26700339 -0.741663305 34.4469746164249 4.27440738264818e-09 4.85873206693371e-06 11.8289592012839
"A_06_P2951" 4.552967061 -2.3081375695 34.2508614051612 4.44838628237391e-09 4.85873206693371e-06 11.793156656354
"A_06_P6946" 2.62274265666667 -1.267219705 33.643243918182 5.04098489074757e-09 4.85873206693371e-06 11.6803707724768
"A_06_P5534" 4.367376619 -2.20269122383333 32.3861516509427 6.57704692351392e-09 4.85873206693371e-06 11.4377496693754
"A_06_P4661" -2.42122491 0.362346811666667 -32.2825081561803 6.72592102742945e-09 4.85873206693371e-06 11.4171665230484
"A_06_P7242" 2.97505964766667 1.53236157616667 31.6105957056889 7.78984862466834e-09 4.85873206693371e-06 11.2814990069167
"A_06_P1749" 3.06729411466667 -1.56783024266667 30.6283946184853 9.70977721383864e-09 4.85873206693371e-06 11.0759836879479
"A_06_P5883" -2.06468012 1.10992337333333 -30.4647912422153 1.00795291818393e-08 4.85873206693371e-06 11.0408901384514
"A_06_P3625" -1.848008186 0.906708573666667 -29.9805075939464 1.12718350230996e-08 4.85873206693371e-06 10.9355191453445
"A_06_P1184" -2.31600411666667 0.617027441666667 -29.921288043759 1.14283885232242e-08 4.85873206693371e-06 10.9224789580732
"A_06_P4962" 2.46434861633333 -1.2780587585 29.6925801323127 1.20567514087104e-08 4.85873206693371e-06 10.8717947833912
"A_06_P6535" 3.20511183 -1.60093021833333 29.4994595172407 1.26181734893959e-08 4.85873206693371e-06 10.8285940966958
"A_06_P6655" -1.71186986 0.736975503333333 -28.8959683699832 1.45746162013747e-08 4.85873206693371e-06 10.6911636068573
"A_06_P4488" -2.07544741333333 1.06662162666667 -28.526002787569 1.5944615216534e-08 4.85873206693371e-06 10.6050459540141
"A_06_P6463" -1.738930052 0.886119040666667 -28.5142310576575 1.59905597476671e-08 4.85873206693371e-06 10.6022820310335
"A_06_P4755" -1.90748246666667 0.644931 -28.5082906345345 1.60138023008488e-08 4.85873206693371e-06 10.6008866978517
"A_06_P2333" 3.07005687666667 -1.63950472833333 28.4990845999464 1.60498981310236e-08 4.85873206693371e-06 10.5987235672743
"A_06_P6648" -2.01135730333333 -0.0537002816666667 -28.3855126655249 1.65029263413141e-08 4.85873206693371e-06 10.5719630035291
"A_06_P4514" 1.95317490666667 -0.513809046666667 28.2214489049761 1.71833716853239e-08 4.85873206693371e-06 10.5330596525848
"A_06_P5972" 2.20386286433333 -1.06599730116667 28.1032873397475 1.76932928339891e-08 4.85873206693371e-06 10.5048594293607
"A_06_P5391" 4.271523796 -2.15909226866667 27.9107239332755 1.85617486029321e-08 4.88483350733829e-06 10.4585737865293
"A_06_P1281" -1.97887769266667 0.973175520333333 -27.6106978958356 2.00136261583684e-08 4.9593735283439e-06 10.3856345781173
"A_06_P4863" -1.83450665 0.393387941666667 -27.5320433445395 2.04154071781098e-08 4.9593735283439e-06 10.3663448683872
"A_06_P7208" 4.190518101 -2.13741431616667 27.2714079339803 2.18140804162126e-08 5.10287895958514e-06 10.3019190028345
"A_06_P4142" -2.16310976 0.671037186666667 -26.9391601908591 2.37584308984612e-08 5.16618920803953e-06 10.2186468573249
"A_06_P6930" 2.27582421 -1.151479395 26.7696480342281 2.48261792822965e-08 5.16618920803953e-06 10.1756587128476
"A_06_P4396" 1.997694625 1.04528775416667 26.7283994004289 2.50942192902265e-08 5.16618920803953e-06 10.1651460529798
"A_06_P1320" 3.26497775666667 -1.766406055 26.6885158194307 2.53565334783448e-08 5.16618920803953e-06 10.1549618098062
"A_06_P3726" -1.62422434566667 0.752048493833333 -26.3562937474907 2.76674142377557e-08 5.17823243582786e-06 10.0693777100324
"A_06_P2442" -1.72899915666667 0.0713899783333333 -26.3357051252069 2.78183532644593e-08 5.17823243582786e-06 10.0640292941961
"A_06_P5091" -1.66022904866667 0.820377509 -26.22178735747 2.86706822336975e-08 5.17823243582786e-06 10.0343412520443
"A_06_P3076" 2.36375395433333 -1.2280325895 26.1857190722444 2.89467265199468e-08 5.17823243582786e-06 10.0249078367347
"A_06_P6750" 1.58245311666667 0.359264541666667 26.1126954973253 2.95149410528504e-08 5.17823243582786e-06 10.0057591584102
"A_06_P4234" 2.48558710333333 0.660410081666667 25.7270411380182 3.27353173387005e-08 5.58800714354682e-06 9.90351046204475
"A_06_P1521" -2.19203119 0.108880038333333 -25.6124643870117 3.37680460694556e-08 5.61260470986005e-06 9.87276478874652
"A_06_P5438" 1.593822161 -0.825476486166667 25.4829698689244 3.49802627507103e-08 5.66500870598683e-06 9.83781012596851
"A_06_P3139" 3.00118283333333 0.306236416666667 25.3178916146889 3.65982466741123e-08 5.77886314984233e-06 9.79293031339548
"A_06_P5383" -1.83108489 0.687761788333333 -25.1805111138592 3.80100662723843e-08 5.85540435552145e-06 9.75530440585865
