"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"A_06_P1279" -2.16234496666667 -0.01581573 -15.7678353055292 3.60706836166968e-06 0.0104992936150523 4.85713776499791
"A_06_P3382" 1.76058388333333 0.0136111583333333 15.2929133907127 4.32834063084527e-06 0.0104992936150523 4.72593844439102
"A_06_P3216" 1.77372748333333 -0.0313562216666666 14.6169669817419 5.66429508341556e-06 0.0104992936150523 4.52700434062486
"A_06_P2485" -1.39428998 -0.05390851 -14.2277083906412 6.64933097850053e-06 0.0104992936150523 4.40547000203423
"A_06_P4136" -1.05026133 0.00646536499999998 -13.3008232015726 9.91140786023139e-06 0.0125164756256405 4.09357516913808
"A_06_P5533" 1.60102081333333 -0.0448366766666667 12.8973191769158 1.18902555025084e-05 0.0125164756256405 3.94705995302149
"A_06_P6049" 1.23471706333333 -0.0447997983333333 12.1693921366659 1.67440445046532e-05 0.0151079121559128 3.66456540204102
"A_06_P6925" 1.52297433333333 0.06957102 11.504609683913 2.32836984538194e-05 0.0165784732612124 3.38424996511544
"A_06_P3510" 1.09136375 0.014345575 11.2873372914294 2.60324049104976e-05 0.0165784732612124 3.28762787204174
"A_06_P5478" 0.897841143333333 -0.00109577166666668 11.2714018364922 2.62483743844402e-05 0.0165784732612124 3.28043974199248
"A_06_P4396" 1.81528725 0.164019575 10.6374751740566 3.67921709534042e-05 0.0196304043356447 2.98271540765186
"A_06_P4104" 1.0614834 -0.0165220866666666 10.5596763241871 3.83972645861067e-05 0.0196304043356447 2.94453361790381
"A_06_P5532" 1.13144588666667 0.0449067733333333 10.3809676641487 4.24007727262315e-05 0.0196304043356447 2.85540263619753
"A_06_P7242" 3.31171146666667 0.149450066666667 10.3347817860861 4.3512612523595e-05 0.0196304043356447 2.83203930257493
"A_06_P6182" 2.05430888666667 0.154113456666667 10.1485415980277 4.83516454779101e-05 0.020359266189232 2.73643129042176
"A_06_P7037" 1.22843060666667 0.0255969366666667 10.0287162446888 5.17939376953046e-05 0.0204456569052215 2.67371134684396
"A_06_P5731" 1.23159218 0.0145171533333333 9.86944029058626 5.68173871986467e-05 0.020745880791314 2.58884241474295
"A_06_P7084" -1.11288499 0.037653205 -9.80156996581177 5.91274894812638e-05 0.020745880791314 2.55214844261787
"A_06_P2614" 0.953849156666667 0.029087065 9.71026763432203 6.24084444323886e-05 0.020745880791314 2.50227788478319
"A_06_P6710" -0.78905868 0.0270586 -9.42263173180213 7.42063712448429e-05 0.0214263446371827 2.34126234605203
"A_06_P6540" 1.98248754333333 0.217390628333333 9.40130431907181 7.51792381141766e-05 0.0214263446371827 2.32908219254141
"A_06_P3010" -0.857532176666667 0.008671605 -9.36355700043563 7.69374367235888e-05 0.0214263446371827 2.307441358443
"A_06_P6157" -1.25568660666667 0.01632174 -9.30207600091041 7.99037410234323e-05 0.0214263446371827 2.27196462481548
