"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"A_06_P6738" 4.69302966666667 0.00241626666666672 56.7989341891817 1.47272123776048e-10 5.59738730844853e-07 14.9422167181881
"A_06_P4575" 5.2144921 -0.0276645166666666 51.8332389532736 2.78375803859283e-10 5.59738730844853e-07 14.4248337451979
"A_06_P3111" 3.91216113333333 0.0402310666666667 51.0553547536402 3.09259992763575e-10 5.59738730844853e-07 14.3367589422954
"A_06_P1368" 7.30263506666667 -0.0399159666666666 50.0634461041866 3.54489379889077e-10 5.59738730844853e-07 14.2214444548096
"A_06_P3511" 6.8091291 -0.113092083333333 47.0295334376187 5.47587058730257e-10 5.74764631024337e-07 13.8464235832582
"A_06_P5604" 7.6270558 -0.0386981999999999 46.6872382928948 5.76124231657291e-10 5.74764631024337e-07 13.8018729603775
"A_06_P2951" 7.60762886666667 -0.0401336000000001 44.8283121426513 7.64216351139478e-10 5.74764631024337e-07 13.5514033155507
"A_06_P5912" -3.56434086666667 -0.0127094666666666 -44.4316283546867 8.12931515324422e-10 5.74764631024337e-07 13.4960202419216
"A_06_P5534" 6.47259873333333 -0.0872163666666667 44.2312895917378 8.38877422169474e-10 5.74764631024337e-07 13.4677821024778
"A_06_P7208" 7.52606736666667 -0.10111175 42.8248874436158 1.05014553622238e-09 5.74764631024337e-07 13.2643362335165
"A_06_P5609" 3.3154618 0.0316697666666667 42.6953730601328 1.07248780292819e-09 5.74764631024337e-07 13.2451304615084
"A_06_P2839" 6.83985803333333 -0.14916945 42.4529240752321 1.11578873135516e-09 5.74764631024337e-07 13.208958483513
"A_06_P1320" 5.9964829 0.0216425166666667 42.0970436507049 1.18301776493293e-09 5.74764631024337e-07 13.1553402537009
"A_06_P4130" 3.67574216666667 0.0118602166666667 41.303270739838 1.35033800342664e-09 5.89277371159971e-07 13.0334584671353
"A_06_P6463" -3.42618176666667 -0.0572945166666667 -41.0913132134498 1.3994871069347e-09 5.89277371159971e-07 13.0003669641269
"A_06_P3263" 4.03131323333333 -0.04821975 40.1995866036387 1.62994451765213e-09 6.35316187805544e-07 12.8585519110855
"A_06_P3671" 2.93218723333333 -0.0298697166666666 39.9230920027243 1.71000240542974e-09 6.35316187805544e-07 12.8137092822582
"A_06_P5883" -3.17672853333333 -0.0329276666666667 -39.0515908227593 1.9933424522548e-09 6.70472662973355e-07 12.6695820784047
"A_06_P5610" 3.23097353333333 -0.0064613 38.9854853688872 2.01693802984385e-09 6.70472662973355e-07 12.6584737779703
"A_06_P3906" 2.68675393333333 -0.0100487 38.6961302856198 2.12404803957008e-09 6.70774370896232e-07 12.6095530794738
"A_06_P5931" 4.60666853333333 -0.100558466666667 38.0038935042691 2.40773139483653e-09 7.24153880466071e-07 12.4905170275931
"A_06_P4854" 3.7475974 -0.0242713333333333 37.5875173830407 2.59914904510305e-09 7.46192062221403e-07 12.4175266518862
"A_06_P1369" 7.46010873333333 -0.0204671333333333 37.2580151580112 2.76300823549074e-09 7.58746087624327e-07 12.3590067441307
"A_06_P4004" -2.72320923333333 0.0135878833333333 -36.6203020369585 3.1148431357226e-09 8.19722885217665e-07 12.2437999456168
"A_06_P6523" 3.90892223333333 0.0714763166666667 35.8059972573176 3.64104443042599e-09 8.97164084551597e-07 12.0928405234189
"A_06_P4591" -3.74039966666667 -0.0183123000000001 -35.554081846744 3.82390548719275e-09 8.97164084551597e-07 12.0452386289923
"A_06_P3076" 3.55736223333333 -0.01496075 35.5389108159897 3.83524861983742e-09 8.97164084551597e-07 12.0423580680227
"A_06_P3900" 4.25748886666667 0.0612875333333334 35.3517375928819 3.97840591239243e-09 8.97414705095379e-07 12.0066885773205
"A_06_P6167" -2.32316933333333 0.0026737 -35.1320174364409 4.15431067516782e-09 9.04780214633101e-07 11.9645063958154
"A_06_P2352" -2.44737276666667 0.0102969833333333 -34.9255662087855 4.32773287381427e-09 9.11132027700364e-07 11.924562946896
"A_06_P5391" 5.81010316666667 -0.10516755 34.2369383472153 4.96895798105371e-09 1.00895263472351e-06 11.7891237468609
"A_06_P1706" -2.72953476666667 -0.00258415000000001 -34.097298785631 5.11185628738954e-09 1.00895263472351e-06 11.7612377440109
"A_06_P1553" 7.29044386666667 -0.1384844 33.8878356961464 5.33510292107185e-09 1.02110636513606e-06 11.7191362973245
"A_06_P6276" 5.25571203333333 0.00337638333333334 33.4871289035257 5.79395139152502e-09 1.07631167614329e-06 11.6376743995501
"A_06_P2064" 4.64827596666667 -0.0204146833333333 32.8456300785197 6.62569446987631e-09 1.19565389347825e-06 11.5046827727947
"A_06_P3212" -2.68247793333333 -0.0298789333333333 -32.5193150685073 7.10065140990209e-09 1.22261125925578e-06 11.4357838576869
"A_06_P6351" -2.32775366666667 0.00972423333333331 -32.4788438578026 7.16222555295503e-09 1.22261125925578e-06 11.427178823297
"A_06_P2073" 3.00157416666667 -0.0185138499999999 32.2465559328202 7.52766034021137e-09 1.22709831537145e-06 11.3775311209871
