"ID" "Gene"
"A_06_P5648" "YMR209C"
"A_06_P6281" "YOL088C"
"A_06_P2964" "YGL009C"
"A_06_P5642" "YMR203W"
"A_06_P3070" "YGL115W"
"A_06_P5740" "YMR299C"
"A_06_P1686" "YCR064C"
"A_06_P6846" "YPL087W"
"A_06_P6688" "YOR324C"
"A_06_P2601" "YEL059W"
"A_06_P4654" "YKR017C"
"A_06_P6546" "YOR184W"
"A_06_P1231" "YBL098W"
"A_06_P6307" "YOL114C"
"A_06_P6519" "YOR157C"
"A_06_P2318" "YDR327W"
"A_06_P5822" "YNL051W"
"A_06_P5859" "YNL088W"
"A_06_P4446" "YKL037W"
"A_06_P5929" "YNL158W"
"A_06_P2936" "NP253105"
"A_06_P1383" "YBR131W"
"A_06_P4381" "YJR137C"
"A_06_P7107" "YPR061C"
"A_06_P4188" "YJL166W"
"A_06_P7220" "YPR172W"
"A_06_P6478" "YOR116C"
"A_06_P1175" "YBL045C"
"A_06_P5520" "YMR091C"
"A_06_P7006" "YPL246C"
"A_06_P4765" "YLL020C"
"A_06_P1209" "YBL077W"
"A_06_P4379" "YJR135W-A"
"A_06_P4302" "YJR059W"
"A_06_P2971" "YGL016W"
"A_06_P6300" "YOL107W"
"A_06_P2145" "YDR157W"
"A_06_P6136" "YNR025C"
"A_06_P4807" "YLL062C"
"A_06_P6538" "YOR176W"
"A_06_P5578" "YMR146C"
"A_06_P4891" "YLR079W"
"A_06_P3982" "YIR006C"
"A_06_P1176" "YBL046W"
"A_06_P3591" "YHR021C"
"A_06_P2482" "YDR489W"
"A_06_P6606" "YOR245C"
"A_06_P3337" "YGR117C"
"A_06_P6821" "YPL062W"
"A_06_P4236" "YJL214W"
"A_06_P2826" "YFL003C"
"A_06_P1688" "YCR066W"
"A_06_P5881" "YNL110C"
"A_06_P6369" "YOR008C-A"
"A_06_P1125" "YHR214C-D"
"A_06_P6296" "YOL103W"
"A_06_P3930" "YIL131C"
"A_06_P6964" "YPL204W"
"A_06_P4935" "YLR122C"
"A_06_P4323" "YJR080C"
"A_06_P1133" "YBL004W"
"A_06_P2472" "YDR479C"
"A_06_P6450" "YOR087W"
"A_06_P6272" "YOL080C"
"A_06_P1871" "YDL138W"
"A_06_P2516" "YDR523C"
"A_06_P7230" "YPR182W"
"A_06_P2749" "YER117W"
"A_06_P4255" "YJR009C"
"A_06_P6018" "YNL246W"
"A_06_P5024" "YLR210W"
"A_06_P1668" "YCR042C"
"A_06_P1284" "YBR037C"
"A_06_P5405" "YML112W"
"A_06_P4187" "YJL165C"
"A_06_P4993" "YLR179C"
"A_06_P1043" "YAL021C"
"A_06_P5393" "YML101C"
"A_06_P3872" "YIL072W"
"A_06_P6246" "YOL054W"
"A_06_P1973" "YDL238C"
"A_06_P6278" "YOL086C"
"A_06_P4356" "YJR113C"
"A_06_P5529" "YMR100W"
"A_06_P5666" "YMR227C"
"A_06_P4985" "YLR171W"
"A_06_P1411" "YBR159W"
"A_06_P5423" "YML129C"
"A_06_P2838" "YFL012W-A"
"A_06_P4142" "YJL122W"
"A_06_P4635" "YKL223W"
"A_06_P4454" "YKL045W"
"A_06_P7015" "YPL254W"
"A_06_P1239" "YBL106C"
"A_06_P6475" "YOR113W"
"A_06_P1769" "YDL041W"
"A_06_P1579" "YCL027W"
"A_06_P6722" "YOR358W"
"A_06_P4495" "YKL085W"
"A_06_P6816" "YPL057C"
"A_06_P3303" "YGR083C"
"A_06_P1642" "YCR020C"
"A_06_P5464" "YMR035W"
"A_06_P2599" "YEL058W"
"A_06_P5039" "YLR225C"
"A_06_P1967" "YDL232W"
"A_06_P1022" "Q0275"
"A_06_P3153" "TC20894"
"A_06_P1584" "YCL032W"
"A_06_P4252" "YJR006W"
"A_06_P5957" "YNL185C"
"A_06_P2900" "YFR006W"
"A_06_P6808" "YPL049C"
"A_06_P4519" "YKL107W"
"A_06_P2336" "YDR345C"
"A_06_P3915" "YIL116W"
"A_06_P3883" "YIL084C"
"A_06_P3884" "YIL085C"
"A_06_P5966" "YNL194C"
"A_06_P5668" "YMR229C"
"A_06_P2230" "YDR241W"
"A_06_P3979" "YIR003W"
"A_06_P3373" "YGR152C"
"A_06_P2260" "YDR271C"
"A_06_P7130" "YPR083W"
"A_06_P3455" "YGR234W"
"A_06_P6739" "YOR375C"
"A_06_P5689" "YMR251W"
"A_06_P2272" "YDR283C"
"A_06_P5440" "YMR013C"
"A_06_P4894" "YLR082C"
"A_06_P1892" "YDL159W"
"A_06_P3016" "YGL061C"
"A_06_P6625" "YOR264W"
"A_06_P7050" "YPR005C"
"A_06_P5334" "YML048W"
"A_06_P3261" "YGR041W"
"A_06_P2640" "YER017C"
"A_06_P6794" "YPL035C"
"A_06_P3138" "YGL183C"
"A_06_P6095" "YNL323W"
"A_06_P4422" "YKL015W"
"A_06_P4052" "YJL031C"
"A_06_P2207" "YDR218C"
"A_06_P2051" "YDR064W"
"A_06_P4812" "YLL067C"
"A_06_P4987" "YLR173W"
"A_06_P3844" "YIL044C"
"A_06_P2948" "YFR050C"
"A_06_P2669" "YER044C"
"A_06_P3164" "YGL209W"
"A_06_P3378" "YGR157W"
"A_06_P4073" "YJL052W"
"A_06_P4963" "YLR149C-A"
"A_06_P3678" "YHR103W"
"A_06_P5736" "YMR295C"
