"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"A_06_P4189" -6.02035656666667 -0.0122957166666667 -63.9929230191565 2.08999111999001e-11 4.30538170717941e-08 16.8775397129867
"A_06_P5438" 5.30541456666667 0.0649015166666667 53.931704870152 7.37247119604834e-11 5.61451119284231e-08 15.8058199272979
"A_06_P6738" 5.0095278 0.0141035666666667 50.9688029911307 1.11782401367863e-10 5.61451119284231e-08 15.4328065510883
"A_06_P2333" 5.59758663333333 -0.0227789833333333 50.352969031917 1.22251653167978e-10 5.61451119284231e-08 15.3514353718557
"A_06_P5707" -3.8610676 -0.0329719333333333 -49.6159366888738 1.3627454351559e-10 5.61451119284231e-08 15.2522161449897
"A_06_P6540" 4.207719 0.0366548666666667 46.6176441205534 2.15640182321131e-10 6.70117270805096e-08 14.8267841989407
"A_06_P2334" 5.71493943333333 0.0122107166666667 45.480977080987 2.58607790373819e-10 6.70117270805096e-08 14.6557396172927
"A_06_P1475" -4.30496326666667 0.0712478333333333 -45.4421222436563 2.60239716817513e-10 6.70117270805096e-08 14.6497924498814
"A_06_P2135" -2.9284768 0.0129713 -44.5157145806145 3.02836465398112e-10 6.80146097333768e-08 14.5059729926774
"A_06_P6889" -3.48832556666667 0.0625979833333334 -43.9960674620167 3.3016800841445e-10 6.80146097333768e-08 14.4235653511299
"A_06_P5645" 7.94714983333333 -0.0733383500000001 43.2150576517714 3.76680053460358e-10 7.0541900920758e-08 14.2972882738998
"A_06_P1539" 4.94813373333333 -0.0504183666666667 40.1633555732595 6.45539530437561e-10 1.10817619391781e-07 13.7741423279495
"A_06_P3111" 2.83291466666667 0.0229315666666667 39.2192727610702 7.68921421722586e-10 1.21844471442194e-07 13.6019946100322
"A_06_P1085" 4.66922313333333 -0.00864723333333332 38.4003776504107 8.97948935943238e-10 1.32126772003076e-07 13.4484260710912
"A_06_P4032" -2.72061443333333 -0.0332283833333333 -37.8276405856779 1.00281723263782e-09 1.3772023328226e-07 13.3385851863495
"A_06_P6462" 3.56016173333333 0.0186963666666667 37.2252341247192 1.12839137455629e-09 1.45280389474122e-07 13.2208202255118
"A_06_P3857" 4.08522676666667 0.04991915 36.8064924752086 1.22620263425356e-09 1.48586907444843e-07 13.1375745321207
"A_06_P5086" 2.19839473333333 -0.00134656666666662 35.2591485585887 1.68109173812045e-09 1.71395553823511e-07 12.8196656321324
"A_06_P5863" 2.36003826666667 -0.00710206666666665 35.0921251973413 1.74075254795489e-09 1.71395553823511e-07 12.7843444343342
"A_06_P5113" -2.93264706666667 -0.0585247666666667 -34.8662047035104 1.82531284440343e-09 1.71395553823511e-07 12.7362455464491
"A_06_P4297" -2.66066166666667 -0.0225494666666666 -34.6893163608992 1.89478101271923e-09 1.71395553823511e-07 12.6983242597216
"A_06_P4219" -2.5770375 -0.0123737499999999 -34.6221199592518 1.92195310877013e-09 1.71395553823511e-07 12.683858022612
"A_06_P4955" 3.2861875 -0.01307965 34.5385016784195 1.95638523232038e-09 1.71395553823511e-07 12.665809500474
"A_06_P4687" 2.66415813333333 -0.0113482333333333 34.2822621131566 2.06633744351993e-09 1.71395553823511e-07 12.6101751763217
"A_06_P6394" -3.93170146666667 -0.0137039 -34.2514093602777 2.08004312892611e-09 1.71395553823511e-07 12.603443044591
"A_06_P6655" -2.4677877 -0.0452008166666667 -33.619726052065 2.38464915029663e-09 1.82107838198272e-07 12.4640022501667
"A_06_P1210" 3.00436113333333 -0.0205957 33.6155008823527 2.3868503064822e-09 1.82107838198272e-07 12.4630591274841
"A_06_P1799" -2.7162752 0.0124138333333333 -33.4293955649186 2.48613062621002e-09 1.82908181785452e-07 12.4213778572169
"A_06_P3263" 2.82303306666667 -0.0184577333333334 32.4549125191556 3.08899672184114e-09 2.1942528437906e-07 12.198567568664
"A_06_P1172" -3.57687223333333 -0.0194605166666667 -31.681313005269 3.68710685910659e-09 2.46860187977874e-07 12.0160329716198
"A_06_P7168" -2.18167573333333 -0.0233647666666667 -31.6489119326336 3.71488632393888e-09 2.46860187977874e-07 12.0082747871534
"A_06_P4821" -3.08341793333333 0.0321185 -31.3605947198125 3.97281571737893e-09 2.55750011806269e-07 11.9388307823606
"A_06_P5078" -2.4181196 -0.0626601333333334 -30.5359586290262 4.83018638444505e-09 2.80244058639536e-07 11.7360593230203
"A_06_P1320" 3.29491263333333 0.00328494999999995 30.5289557380606 4.83831580093787e-09 2.80244058639536e-07 11.7343104395068
"A_06_P2266" 3.81401443333333 0.0182794166666667 30.4787979734324 4.89699806759707e-09 2.80244058639536e-07 11.7217706781882
"A_06_P6077" 2.34419186666667 -0.0355758666666667 30.4783982258081 4.89746898593364e-09 2.80244058639536e-07 11.7216706435015
"A_06_P3671" 2.86596963333333 0.0609145166666667 30.3052675559277 5.10633938461351e-09 2.84298895467671e-07 11.6782034189798
"A_06_P6372" -3.51283456666667 0.04356735 -30.0616423220201 5.41759768956531e-09 2.87159185234835e-07 11.616552693925
"A_06_P4136" -3.3154197 -0.09389965 -30.0473551274111 5.43650884667892e-09 2.87159185234835e-07 11.6129194922647
"A_06_P6359" 2.70624536666667 -0.0784870833333334 29.9315425427134 5.59259790505176e-09 2.88018792110166e-07 11.5833954825043
"A_06_P4221" 2.55606126666667 0.0179717666666667 29.6565560831656 5.98400816684702e-09 3.00659922529387e-07 11.5127674302617
"A_06_P5534" 4.7086512 -0.0138648333333332 29.3085514960952 6.52467465613875e-09 3.09346141081624e-07 11.4223076643834
"A_06_P2003" 3.17461603333333 0.0475710833333333 29.2971071439151 6.54337354209187e-09 3.09346141081624e-07 11.4193121177141
"A_06_P6344" -1.98293209666667 -0.0172499016666667 -29.25820400018 6.60739330465605e-09 3.09346141081624e-07 11.4091193138651
"A_06_P3270" 3.1166525 -0.0284112166666667 29.0632937169137 6.93903332993023e-09 3.1275599132713e-07 11.3578192374721
"A_06_P1300" 2.34790576666667 0.0164481833333333 29.0377544183773 6.98387165099417e-09 3.1275599132713e-07 11.3510684304188
"A_06_P3896" 2.25463423333333 -0.00759155 28.7817800776279 7.45190367929283e-09 3.21673976158633e-07 11.2830329642938
